src/benchmark/BenchmarkSuite.ts(17,63): error TS2339: Property 'workspacePath' does not exist on type 'WorkspaceManager'.
src/cli/PluginCommand.ts(37,25): error TS2345: Argument of type 'string | undefined' is not assignable to parameter of type 'string'.
  Type 'undefined' is not assignable to type 'string'.
src/cli/commands/BenchmarkCommand.ts(1,10): error TS1484: 'Command' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/cli/commands/CompatibilityCommand.ts(1,10): error TS1484: 'Command' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/cli/commands/CompatibilityCommand.ts(22,55): error TS2339: Property 'workspacePath' does not exist on type 'WorkspaceManager'.
src/cli/commands/DoctorCommand.ts(1,10): error TS1484: 'Command' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/cli/commands/InitCommand.ts(1,10): error TS1484: 'Command' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/cli/commands/InitCommand.ts(11,51): error TS2339: Property 'workspacePath' does not exist on type 'WorkspaceManager'.
src/connectivity/ConnectivityLayer.ts(9,10): error TS1484: 'TransportAdapter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/ConnectivityLayer.ts(9,28): error TS1484: 'AIRequest' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/ConnectivityLayer.ts(9,39): error TS1484: 'AIResponse' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/discovery/CapabilityDiscovery.ts(1,10): error TS1484: 'CapabilityProvider' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/providers/ProviderAdapters.ts(1,10): error TS1484: 'ProviderAdapter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/providers/ProviderAdapters.ts(1,27): error TS1484: 'AIRequest' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/providers/ProviderAdapters.ts(1,38): error TS1484: 'AIResponse' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/router/RequestRouter.ts(1,10): error TS1484: 'AIRequest' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/router/RequestRouter.ts(1,21): error TS1484: 'AIResponse' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/session/SessionManager.ts(1,10): error TS1484: 'SessionDetails' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/session/SessionManager.ts(1,26): error TS1484: 'SessionState' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/transport/TransportAdapters.ts(1,10): error TS1484: 'TransportAdapter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/transport/TransportAdapters.ts(1,28): error TS1484: 'AIRequest' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/connectivity/transport/TransportAdapters.ts(1,39): error TS1484: 'AIResponse' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/context/ContextEngineService.ts(1,10): error TS1484: 'Service' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/context/ContextEngineService.ts(2,10): error TS1484: 'KnowledgeGraph' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/context/ContextEngineService.ts(3,10): error TS1484: 'ContextPackage' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/context/ContextEngineService.ts(7,10): error TS1484: 'AgentAdapter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/context/adapters/AgentAdapters.ts(1,10): error TS1484: 'ContextPackage' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/context/optimization/OptimizationEngines.ts(1,10): error TS1484: 'ContextPackage' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/context/planning/PlanningEngines.ts(2,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/context/planning/PlanningEngines.ts(3,10): error TS1484: 'SelectedFile' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/context/retrieval/RetrievalEngines.ts(1,10): error TS1484: 'KnowledgeGraph' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/context/retrieval/RetrievalEngines.ts(2,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/diagnostics/DoctorEngine.ts(17,59): error TS2339: Property 'workspacePath' does not exist on type 'WorkspaceManager'.
src/errors/index.ts(12,5): error TS2412: Type 'string | undefined' is not assignable to type 'string' with 'exactOptionalPropertyTypes: true'. Consider adding 'undefined' to the type of the target.
  Type 'undefined' is not assignable to type 'string'.
src/events/EventDispatcher.ts(1,10): error TS1484: 'Event' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/events/EventDispatcher.ts(1,17): error TS1484: 'EventListener' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/ASTEngine.ts(16,20): error TS2339: Property 'init' does not exist on type 'typeof import("web-tree-sitter")'.
src/extraction/ASTEngine.ts(40,51): error TS2709: Cannot use namespace 'Parser' as a type.
src/extraction/ASTEngine.ts(41,24): error TS2351: This expression is not constructable.
  Type 'typeof import("web-tree-sitter")' has no construct signatures.
src/extraction/DiffEngine.ts(2,10): error TS1484: 'ChangeObject' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/DiffEngine.ts(2,24): error TS1484: 'DiffManifest' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/DiffEngine.ts(38,30): error TS2532: Object is possibly 'undefined'.
src/extraction/DiffEngine.ts(41,43): error TS2322: Type 'string | undefined' is not assignable to type 'string'.
  Type 'undefined' is not assignable to type 'string'.
src/extraction/DiffEngine.ts(43,46): error TS2322: Type 'string | undefined' is not assignable to type 'string'.
  Type 'undefined' is not assignable to type 'string'.
src/extraction/DiffEngine.ts(45,45): error TS2322: Type 'string | undefined' is not assignable to type 'string'.
  Type 'undefined' is not assignable to type 'string'.
src/extraction/DiffEngine.ts(47,69): error TS2322: Type 'string | undefined' is not assignable to type 'string'.
  Type 'undefined' is not assignable to type 'string'.
src/extraction/ExtractionService.ts(1,25): error TS2307: Cannot find module '../../interfaces' or its corresponding type declarations.
src/extraction/ExtractionService.ts(2,27): error TS2307: Cannot find module '../ASTEngine' or its corresponding type declarations.
src/extraction/ExtractionService.ts(3,33): error TS2307: Cannot find module '../ParserFramework' or its corresponding type declarations.
src/extraction/ExtractionService.ts(4,28): error TS2307: Cannot find module '../DiffEngine' or its corresponding type declarations.
src/extraction/ExtractionService.ts(5,37): error TS2307: Cannot find module '../FileDiscoveryEngine' or its corresponding type declarations.
src/extraction/ExtractionService.ts(6,66): error TS2307: Cannot find module '../parsers/MVParsers' or its corresponding type declarations.
src/extraction/ExtractionService.ts(7,34): error TS2307: Cannot find module '../../errors' or its corresponding type declarations.
src/extraction/FactBuilder.ts(1,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/FileDiscoveryEngine.ts(2,10): error TS1484: 'ChangeObject' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/FileDiscoveryEngine.ts(3,10): error TS1484: 'LanguageParser' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/ParserFramework.ts(1,10): error TS1484: 'LanguageParser' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/extractors/APIExtractor.ts(2,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/extractors/APIExtractor.ts(8,32): error TS2694: Namespace '"web-tree-sitter"' has no exported member 'SyntaxNode'.
src/extraction/extractors/APIExtractor.ts(11,48): error TS7006: Parameter 'n' implicitly has an 'any' type.
src/extraction/extractors/APIExtractor.ts(14,41): error TS7006: Parameter 'n' implicitly has an 'any' type.
src/extraction/extractors/DependencyExtractor.ts(10,32): error TS2694: Namespace '"web-tree-sitter"' has no exported member 'SyntaxNode'.
src/extraction/extractors/DependencyExtractor.ts(12,47): error TS7006: Parameter 'n' implicitly has an 'any' type.
src/extraction/extractors/DependencyExtractor.ts(31,32): error TS2694: Namespace '"web-tree-sitter"' has no exported member 'SyntaxNode'.
src/extraction/extractors/DependencyExtractor.ts(33,47): error TS7006: Parameter 'n' implicitly has an 'any' type.
src/extraction/extractors/SymbolExtractor.ts(2,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/extractors/SymbolExtractor.ts(15,32): error TS2694: Namespace '"web-tree-sitter"' has no exported member 'SyntaxNode'.
src/extraction/extractors/SymbolExtractor.ts(68,32): error TS2694: Namespace '"web-tree-sitter"' has no exported member 'SyntaxNode'.
src/extraction/interfaces/LanguageParser.ts(1,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/parsers/MVParsers.ts(2,10): error TS1484: 'LanguageParser' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/parsers/MVParsers.ts(3,10): error TS1484: 'Fact' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/extraction/parsers/MVParsers.ts(11,19): error TS2709: Cannot use namespace 'Parser' as a type.
src/extraction/parsers/MVParsers.ts(13,23): error TS2709: Cannot use namespace 'Parser' as a type.
src/extraction/parsers/MVParsers.ts(37,19): error TS2709: Cannot use namespace 'Parser' as a type.
src/extraction/parsers/MVParsers.ts(39,23): error TS2709: Cannot use namespace 'Parser' as a type.
src/extraction/parsers/MVParsers.ts(64,19): error TS2709: Cannot use namespace 'Parser' as a type.
src/extraction/parsers/MVParsers.ts(66,23): error TS2709: Cannot use namespace 'Parser' as a type.
src/intelligence/RepositoryIntelligenceEngine.ts(1,10): error TS1484: 'Service' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
src/intelligence/RepositoryIntelligenceEngine.ts(2,10): error TS1484: 'LLMAdapter' is a type and must be imported using a type-only import when 'verbatimModuleSyntax' is enabled.
